date,district,grade,highest_price_rs_kg,average_price_rs_kg
05.01.2016,Ratnapura,Alba,2100.0,2033.0
05.01.2016,Kalutara,M-5,1300.0,1270.0
05.01.2016,Kalutara,M-4,1200.0,1130.0
05.01.2016,Kalutara,H-1,1000.0,1000.0
05.01.2016,Kalutara,H-2,950.0,915.0
05.01.2016,Galle,Alba,2000.0,1950.0
05.01.2016,Galle,C-5 Sp,1700.0,1675.0
05.01.2016,Galle,C-5,1580.0,1570.0
05.01.2016,Galle,C-4,1550.0,1545.0
05.01.2016,Galle,H-1,1460.0,1450.0
05.01.2016,Galle,H-2,1450.0,1445.0
05.01.2016,Matara,C-5 Sp,1700.0,1633.0
05.01.2016,Matara,C-5,1600.0,1530.0
05.01.2016,Matara,C-4,1550.0,1493.0
05.01.2016,Matara,M-5,1500.0,1490.0
05.01.2016,Matara,M-4,1480.0,1465.0
05.01.2016,Matara,H-1,1460.0,1445.0
05.01.2016,Matara,H-2,1420.0,1379.0
05.01.2016,Matara,H-Faq,1370.0,1225.0
05.01.2016,Hambantota,C-5,1700.0,1625.0
05.01.2016,Hambantota,C-4,1550.0,1540.0
05.01.2016,Hambantota,H-1,1450.0,1450.0
05.01.2016,Hambantota,H-2,1450.0,1440.0
05.01.2016,Monaragala,Gorosu,920.0,892.0
05.01.2016,Kalutara,C-4,1450.0,1430.0
05.01.2016,Kalutara,C-5,1500.0,1500.0
05.01.2016,Matara,Alba,2150.0,2088.0
05.01.2016,Kalutara,Alba,2000.0,2000.0
05.01.2016,Kalutara,C-5 Sp,1600.0,1570.0
05.01.2016,Ratnapura,C-5,1600.0,1533.0
05.01.2016,Ratnapura,C-4,1450.0,1416.0
05.01.2016,Ratnapura,M-5,1250.0,1250.0
05.01.2016,Ratnapura,M-4,1250.0,1250.0
05.01.2016,Ratnapura,H-1,1350.0,1266.0
05.01.2016,Ratnapura,H-2,1250.0,1232.0
05.01.2016,Badulla,C-5 Sp,1700.0,1700.0
05.01.2016,Badulla,C-5,1600.0,1600.0
05.01.2016,Badulla,C-4,1450.0,1450.0
05.01.2016,Badulla,M-5,1350.0,1350.0
05.01.2016,Badulla,M-4,1350.0,1350.0
05.01.2016,Ratnapura,C-5 Sp,1700.0,1666.0
05.01.2016,Badulla,Gorosu,1300.0,900.0
05.01.2016,Kurunegala,Heen,1100.0,1033.0
05.01.2016,Kurunegala,Gorosu,780.0,743.0
05.01.2016,Colombo,C-5 Sp,1700.0,1700.0
05.01.2016,Colombo,C-5,1600.0,1600.0
05.01.2016,Colombo,C-4,1400.0,1400.0
05.01.2016,Colombo,H-1,1300.0,1300.0
05.01.2016,Colombo,H-2,1250.0,1250.0
05.01.2016,Gampaha,C-4,1250.0,1100.0
05.01.2016,Gampaha,Gorosu,1000.0,950.0
05.01.2016,Badulla,Heen,1600.0,1175.0
12.01.2016,Kalutara,M-5,1300.0,1260.0
12.01.2016,Galle,H-2,1450.0,1445.0
12.01.2016,Galle,H-1,1460.0,1450.0
12.01.2016,Galle,C-4,1550.0,1545.0
12.01.2016,Galle,C-5,1580.0,1570.0
12.01.2016,Kalutara,M-4,1210.0,1130.0
12.01.2016,Galle,Alba,2000.0,1950.0
12.01.2016,Kalutara,H-2,950.0,920.0
12.01.2016,Kalutara,H-1,1110.0,1000.0
12.01.2016,Matara,Alba,2150.0,2088.0
12.01.2016,Galle,C-5 Sp,1700.0,1680.0
12.01.2016,Matara,C-5 Sp,1800.0,1683.0
12.01.2016,Matara,H-2,1440.0,1410.0
12.01.2016,Matara,C-4,1153.0,1520.0
12.01.2016,Matara,M-5,1500.0,1495.0
